actor observer asymmetry
defensive attribution hypothesis
effort justification
egocentric bias
false consensus effect
forer effect
fundamental attribution error
hard-easy effect
illusion of control
illusory superiority
optimism bias
overconfidence effect
risk compensation
self-serving bias
social desirability bias
third-person effect
decoy effect
reactance
social comparison bias
status quo bias
backfire effect
endowment effect
loss aversion
pseudocertainty effect
sunk cost fallacy
zero-risk bias
hyperbolic discounting
identifiable victim effect
ambiguity bias
belief bias
information bias
less-is-better effect
authority bias
automation bias
bandwagon effect
group attribution error
just-world hypothesis
stereotyping
ultimate attribution error
halo effect
in-group bias
out-group homogeneity bias
positivity effect
reactive devaluation
hindsight bias
impact bias
outcome bias
pessimism bias
planning fallacy
projection bias
restraint bias
self-consistency bias
denomination effect
mental accounting
normalcy bias
subadditivity effect
survivorship bias
zero-sum bias
anthropomorphism
illusion of validity
illusory correlation
curse of knowledge
illusion of asymmetric insight
illusion of transparency
spotlight effect
negativity bias
choice-supportive bias
confirmation bias
continued influence effect
expectation bias
observer effect
observer-expectancy effect
ostrich effect
bias blind spot
naive cynicism
naive realism
attentional bias
availability heuristic
base rate fallacy
context effect
empathy gap
illusory truth effect
mere exposure effect
mood-congruent memory bias
omission bias
anchoring
conservatism
contrast effect
distinction bias
focusing effect
framing effect
fading affect bias
implicit association
implicit stereotypes
false memory
misattribution of memory
source confusion
misinformation effect
peak-end rule
delayed reciprocity
asymmetrical investment
survival imperative
aversion response
narrative self
hedonic adaptation
self-determination theory
pleasure principle & reality principle
search for meaning
moral licensing effect
choice overload
kin selection & inclusive fitness
asymmetrical parental investment
formation of dominance hierarchies
territoriality
mating strategies
jealousy
paternity uncertainty
groupthink
bystander effect
social facilitation
diffusion of responsibility
decision fatigue
awe
mortality salience & legacy drive
flow principle
gratitude mechanism
post-traumatic growth
skin hunger & the law of touch
self-handicapping paradox
the allure of the forbidden
sadistic pleasure
the utility principle of self-deception
play impulse principle
attribution theory
social comparison theory
self-perception theory
terror management theory
cognitive dissonance theory
psychological reactance theory
social learning theory
conformity
obedience to authority
social identity theory
bystander effect
reciprocity principle
Talkative
Assertive
Active
Energetic
Outgoing
Enthusiastic
Daring
Gregarious
Bold
Spontaneous
Quiet
Reserved
Shy
Inhibited
Timid
Withdrawn
Unassertive
Introverted
Silent
Unenergetic
Sympathetic
Kind
Appreciative
Affectionate
Soft-hearted
Warm
Generous
Trusting
Helpful
Cooperative
Cold
Unsympathetic
Harsh
Rude
Unkind
Cruel
Quarrelsome
Critical
Antagonistic
Callous
Organized
Responsible
Dependable
Thorough
Efficient
Practical
Deliberate
Conscientious
Neat
Careful
Disorganized
Careless
Irresponsible
Undependable
Sloppy
Impractical
Haphazard
Negligent
Untidy
Rash
Relaxed
Calm
At ease
Unemotional
Poised
Composed
Secure
Stable
Content
Placid
Anxious
Moody
Envious
Touchy
Fretful
Temperamental
Insecure
Nervous
Jealous
High-strung
Creative
Imaginative
Intellectual
Philosophical
Complex
Deep
Artistic
Bright
Perceptive
Introspective
Uncreative
Unimaginative
Unintellectual
Unphilosophical
Simple
Shallow
Unartistic
Dull
Imperceptive
Uninquisitive
